Date, Open, High, Low, Close
10/08/12, 6.2890, 6.2890, 6.2881, 6.2881
10/05/12, 6.2890, 6.2890, 6.2890, 6.2890
10/04/12, 6.2890, 6.2890, 6.2890, 6.2890
10/03/12, 6.3252, 6.3252, 6.2890, 6.2890
10/02/12, 6.2875, 6.3252, 6.2875, 6.3252
10/01/12, 6.2858, 6.2875, 6.2858, 6.2875
09/28/12, 6.3034, 6.3034, 6.2858, 6.2858
09/27/12, 6.3029, 6.3034, 6.3029, 6.3034
09/26/12, 6.3069, 6.3069, 6.3029, 6.3029
09/25/12, 6.3103, 6.3103, 6.3069, 6.3069
09/24/12, 6.3077, 6.3103, 6.3077, 6.3103
09/21/12, 6.3040, 6.3077, 6.3040, 6.3077
09/20/12, 6.3108, 6.3108, 6.3040, 6.3040
09/19/12, 6.3196, 6.3196, 6.3108, 6.3108
09/18/12, 6.3245, 6.3245, 6.3196, 6.3196
09/17/12, 6.3168, 6.3245, 6.3168, 6.3245
09/14/12, 6.3310, 6.3310, 6.3168, 6.3168
09/13/12, 6.3279, 6.3310, 6.3279, 6.3310
09/12/12, 6.3380, 6.3380, 6.3279, 6.3279
09/11/12, 6.3387, 6.3387, 6.3380, 6.3380
09/10/12, 6.3438, 6.3438, 6.3387, 6.3387
09/07/12, 6.3442, 6.3442, 6.3438, 6.3438
09/06/12, 6.3503, 6.3503, 6.3442, 6.3442
09/05/12, 6.3485, 6.3503, 6.3485, 6.3503
09/04/12, 6.3434, 6.3485, 6.3434, 6.3485
09/03/12, 6.3497, 6.3497, 6.3434, 6.3434
08/31/12, 6.3508, 6.3508, 6.3497, 6.3497
08/30/12, 6.3529, 6.3529, 6.3508, 6.3508
08/29/12, 6.3542, 6.3542, 6.3529, 6.3529
08/28/12, 6.3580, 6.3580, 6.3542, 6.3542
08/27/12, 6.3557, 6.3580, 6.3557, 6.3580
08/24/12, 6.3566, 6.3566, 6.3557, 6.3557
08/23/12, 6.3529, 6.3566, 6.3529, 6.3566
08/22/12, 6.3572, 6.3572, 6.3529, 6.3529
08/21/12, 6.3603, 6.3603, 6.3572, 6.3572
08/20/12, 6.3594, 6.3603, 6.3594, 6.3603
08/17/12, 6.3674, 6.3674, 6.3594, 6.3594
08/16/12, 6.3633, 6.3674, 6.3633, 6.3674
08/15/12, 6.3599, 6.3633, 6.3599, 6.3633
08/14/12, 6.3641, 6.3641, 6.3599, 6.3599
